id_,adress,price,district,num_rum,area,num_floor1,num_floor2,add_inform,metro,GK
1958,"Лабораторна вул., 8",1055,Печерский,3,102,5,11,"
Дополнительно : 
Без комиссионных!!! Для комфортного проживання в тихом центре города сдается шикарная 3х к квартира в новом жилом доме в 5 минутах ходьбы от м.Дворец Украина,  расположенном по ул. Лабораторная 8. В квартире сделан отличный дизайнерский ремонт в современном стиле. Использовались дорогие отделочные материалы,  на полу в комнатах -дубовый паркет, в коридоре и на кухне –плитка. Встроенная кухня авторский дизайн,  вся бытовая техника ведущих производителей , большой 2х дверный холодильник,  посудомоечная машина.Есть вся необходимая посуда. В квартире 2 с/у. В хозяйском большая угловая ванная,  душевая кабина,  биде,  бойлер. В гостевом - унитаз и умывальник. Две спальни с функциональными встроенными шкафами.В одной спальне-большая 2х спальная кровать ,  в другой-раскладывающийся ортопедический диван Комнату можно использовать как кабинет , так и детскую комнату. Кухня соединена с гостиной (закрывается раздвижной дверью). В гостиной оборудована обеденная зона. Два LCD телевизора,  Vi-Fi ,  три кондиционера. Видео домофон.Установлен счетчик тепла. Отличное презентабельное парадное после капитального ремонта. Охрана дома.Развитая инфраструктура. Квартира свободная и готовая к проживанию. Звоните сейчас 0962276963.Просмотры по договоренности.
  ",3,0
1959,"Урлiвська вул., 38",492,Дарницкий,3,100,8,25,"
Дополнительно : 
Сдается 3х к квартира в новом доме на Позняках.100/60/15.8/25 этажного дома. Квартира 3хк с раздельными комнатами полностью меблированная современной мебелью и готова к проживанию. В каждой комнате шкаф-купе, диван, кондиционер. На кухне холодильник,  телевизор. Хорошее жилое состояние. Чистое презентабельное парадное. Развитая инфраструктура. Отличное месторасположение и транспортная развязка. Возле дома остановки маршруток до станции метро Позняки, Осокорки 15 минут. Возле дома в пешей доступности д/с,  школа,  поликлиника. Торговый центр River moll, Ашан, Сильпо. Квартира свободна и готова к проживанию. Звоните сегодня! Просмотр по договоренности.  Цена 14000грн ком. услуги
  ",3,0
1960,"Салютна вул., 42-46",281,Шевченковский,1,42,16,16,"
Дополнительно : 
Аренда 1к возле парка Дубки Салютная 42-46Сдается после свежего косметического ремонта 1к квартира на Салютной 42-46.16/16 панельного дома. 42/20/9.С/у раздельный. В комнате шкаф и два раскладывающихся дивана. Корпусная кухня , холодильник,  стиральная машина-автомат. Интернет,  домофон. Большая лоджия на кухню и комнату. Застеклена. Квартира с захватывающим видом на парк Дубки. Тихое и спокойное место. Рядом школа Динамо,  Кадетский корпус,  магазины,  школа,  д/с. Отличная транспортная развязка. До м. Сырец 10 минут пешего хода. Квартира свободна и готова к проживанию. Просмотры по договоренности в удобное для вас время.Цена 8000грн
  ",3,0
1961,"Княжий Затон вул., 21",633,Дарницкий,3,98,16,25,"
Дополнительно : 
Сдается отличная 3хк квартира с дизайнерским евроремонтом на Княжем Затоне 21. В 5 минутах ходьбы от ст. м. Осокорки и набережной Днепра. 16/25 этажного монолитно-каркасного дома.Площадь квартиры 98/59/15. Квартира 2х сторонняя с видом на Днепр. Комфортная, рациональная планировка позволит вам наслаждаться жизнью в ней. Три отдельные комнаты,  кухня, гардеробная, бытовая комната, 2 с/у. Один с/у с ванной-джакузи, другой(гостевой с душевой кабиной. На полу в гостиной, кухне и коридоре плитка(теплый пол с подогревом). В спальне и детской комнате-паркетная доска. Установлены кондиционеры, бойлер, стиральная машина-автомат.Встроенная кухня, вся бытовая техника. 2х камерный холодильник, посудомоечная машина, СВЧ , два LCD телевизора. Отличное месторасположение и транспортная развязка. Рядом два торгово- развлекательных центра Материк и Ривьер Мол, супермаркеты,  школы и д/с.  До м. Осокорки 5 минут пешком. Квартира свободна и готова к проживанию. Звоните сегодня, просмотры по договоренности.Возможен торг.
  ",2,0
1962,"Ревуцького вул., 40",422,Дарницкий,2,48,24,25,"
Дополнительно : 
Видовая 2-комнатная квартира в ЖК ""Лебединый"" по ул. Ревуцкого 40,  две минуты ходьбы станция метро Харьковская,  Дарницкий р-н.,  48 кв.м.,  эт. 24/25. После ремонта в новом доме. Полностью меблирована. Есть вся необходимая бытовая техника: бойлер,  стиральная машина,  холодильник. Интернет,  телевизор. Закрытый охраняемый двор с видеонаблюдением,  консьержем. Возле дома прекрасная набережная с детскими площадками и зонами отдыха,  продовольственный рынок,  торговый центр. Дом расположен на берегу озера Лебединое. 12000 грн. При подписании договора комиссия агентства 50%.Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",3,1
1963,"Панельна вул., 7",492,Днепровский,1,46,10,24,"
Дополнительно : 
Срочно сдам шикарную 1-комнатную квартиру в ЖК ""Кассиопея"",  ул. Панельная,  7. Днепровский р-н. 46 кв.м,  10/24 этаж. Качественный евроремонтом. Первая сдача!!! Вся необходимая мебель и бытовая техника. Чистый и тихий район. Развитая инфраструктура,  Новус,  Комод. Отличная транспортная развязка метро Левобережная 12 мин пешком. 14000 грн. Звоните,  организуем просмотр в удобное для Вас время! При подписании договора комиссия 50%. Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду жилья в Киеве
  ",2,1
1964,"Лесi Українки бул., 9в",633,Печерский,3,85,1,16,"
Дополнительно : 
Просторная 3-х комнатная квартира на Печерске,  б-р Леси Украинки 9в,  85 кв.м., . эт. 1/16. Евроремонт. Квартира полностью укомплектована мебелью и бытовой техникой: диваны,  кровать,  шкафы,  телевизор,  стиральная машинка,  боилер,  варочная поверхность,  духовои шкаф,  мультиварка,  холодильник. В квартире установлены счетчики на холодную и горячую воду,  сигнализация. Две застекленных балкона. Прекрасно развита инфраструктура магазины,  рестораны,  кафе,  школа,  садик,  подземный паркинг. Отлично развита транспортная развязка метро Печерская 5 минут пешком. 18000 грн. При подписании договора комиссия агентства 50%. Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",2,0
1965,"Озерна вул., 24",317,Оболонский,2,60,14,16,"
Дополнительно : 
Срочно сдается 2 комнатная квартира Оболонь ул. Озерная 24,  м. Г.Днепра 5 мин. пешком,  Оболонский р-н. 60/30/10 кв.м.,  эт. 14/16. В квартире есть вся необходимая мебель и бытовая техника: кондиционер,  две кровати,  стиральная машина,  бойлер,  ванна,  электроплита,  электрочайник,  три шкафа,  СВЧ,  счетчики на воду и электричество. 9000 грн. Звоните,  организуем просмотр в удобное для Вас время! При подписании договора комиссия 50%. Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",2,0
1966,"Кудряшова вул., 20",774,Соломенский,2,80,15,23,"
Дополнительно : 
Срочно сдам шикарную 2-х комнатную квартиру,  ЖК Времена года,  ул. Кудряшова, 20. Соломенский район. Квартира 80м,  эт. 15/23. Евроремонт. Полностью укомплектована всей необходимой для комфортного проживания мебелью и бытовой техникой. Отлично развита инфраструктура-магазины,  банки,  супермаркеты. 22000 грн. Предлагайте свою недвижимость для продажи и аренды.
  ",3,1
1967,"Пулюя Iвана вул., 2",387,Соломенский,3,100,6,14,"
Дополнительно : 
Cрочно сдам прекрасную 3-х комнатную квартиру ул. Пулюя, 2. Соломенский район. 100 м,  эт. 6/14. Квартира сдается со всей необходимой для комфортного проживания мебелью и бытовой техникой. Отлично развита инфраструктура три супермаркета,  школа,  бассейн,  детский сад. Большая спортплощадка и парковая зона. Удобная транспортная развязка,  транспорт во все направления города! 11000 грн.
  ",3,0
1968,"Русової Софiї вул., 3",422,Дарницкий,2,65,24,25,"
Дополнительно : 
Шикарная 2-х комнатная квартира по ул. Софии Русовой,  3. Дарницкий район. 65/35/13 кв.м. 24/25 єт. Евроремонт. Квартира полностью оборудована современной мебелью (три шкафа-купе,  двуспальная кровать,  двуспальный диван) и бытовой техникой. В квартире установлены счетчики,  бойлер. Прекрасно развита инфраструктура супермаркеты,  аптеки,  школы,  детские садики. Отличная транспортная развязка метро Осокорки 7 минут пешком. 12 000 грн. Звоните,  организуем просмотр в удобное для Вас время! При подписании договора комиссия 50%. Агентство недвижимости «МЕГА-КАПИТАЛ» приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду жилья в Киеве.
  ",3,0
1969,Максимовича Михайла вул.,563,Голосеевский,2,75,5,7,"
Дополнительно : 
Срочно сдам шикарную 2-х комнатную квартиру в ЖК Park Land,  ул. Практичная, 2. Голосеевский район,  метро Васильковская - 10 минут пешком. Квартира 75 м,  эт. 5/7. Евроремонт. Квартира полностью укомплектована современной мебелью и техникой. ТВ/интернет/телефон. ЖК находится на закрытой территории,  под охраной. Отлично развита инфраструктура. 16000 грн.
  ",1,1
1970,"Кондратюка Юрiя вул., 4",387,Оболонский,2,70,5,9,"
Дополнительно : 
Срочно сдам шикарную 3-х комнатную квартиру перепланированную в 2-х комнатную ( кухня столовая и две раздельные комнаты) на Минском массиве по ул. Юрия Кондратюка,  4. Оболонский р-н. 70 кв.м.,  эт. 5/9. Евроремонт. Квартира полностью укомплектована всей необходимой мебелью (двуспальная кровать,  раскладные диваны,  шкаф-купе) и бытовой техникой: стиральная машина,  холодильник,  телевизор. Прекрасно развита инфраструктура рядом лес,  водоемы ,  парковые зоны,  магазины. Хорошая транспортная развязка. 11000 грн. Звоните,  организуем просмотр в удобное для Вас время! При подписании договора комиссия 50%. Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду жилья в Киеве.
  ",3,0
1971,"Мельникова вул., 18б",651,Шевченковский,1,55,18,23,"
Дополнительно : 
Стильная,  видовая 1 комнатная квартира в ЖК ""Парус"",  ул. Мельникова,  18Б,  метро Лукьяновская 3 минуты пешком,  Шевченковский р-н. 55 кв.м.,  эт. 18/23. Авторский евроремонт. Панорамные окна. Квартира полностью укомплектована всем необходимым для комфортной жизни: встроенная кухня с полным комплектом бытовой техники,  двуспальная кровать,  диваны,  СМА,  кондиционеры,  телевизор. 5 лифтов,  круглосуточная охрана. В пешей доступности,  живописные парки,  поликлиники,  детсады,  школы,  КИМО. 18500 грн. При подписании договора комиссия агентства 50%. Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",1,1
1972,Андрющенка Григорiя вул.,580,Шевченковский,2,66,12,25,"
Дополнительно : 
Срочно сдам 2-х комнатную квартиру в центре в новом комплексе «Лидер»,  ул. Григория Андрющенко,  6Г. Шевченковский район. Площадь: 66 кв. м. 12 этаж / 25 этажного дома.Ремонт выполненный из качественных натуральных материалов,  современная мебель и бытовая техника,  окна во двор,  теплая квартира с удобной транспортной развязкой, 2 станции метро – Лукьяновская и Политехнический институт. 16500 грн.
  ",3,0
1973,"Максимовича Михайла вул., 4",387,Голосеевский,1,46,4,8,"
Дополнительно : 
Срочно сдам шикарную 1 комнатную квартиру на Голосеево в ЖК ""ParkLand"",  ул. Практичная,  4. Голосеевский район. 43/18/10 кв.м.,  эт. 4/8. Евроремонт. Квартира полностью укомплектована всей необходимой для комфортного проживания современной мебелью и бытовой техникой. ТВ/интернет/телефон. Большая гардеробная. Отличная транспортная развязка,  метро Васильковская - 10 минут пешком. Прекрасно развита инфраструктура. ЖК находится на закрытой охраняемой территории. 11000 грн. Комиссия 50%.Агентство недвижимости «МЕГА-КАПИТАЛ» приглашает к сотрудничеству собственников объектов недвижимости для эффективной сдачи в аренду жилья в Киеве
  ",1,1
1974,"Предславинська вул., 25",387,Печерский,1,40,3,9,"
Дополнительно : 
Срочно сдам хорошую однокомнатную квартиру по ул. Предславинская , 25.Печерский район. 8/16 эт. 40/19/10 кв.м. Первая сдача после ремонта. Квартира полностью укомплектована всей необходимой для комфортного проживания современной мебелью и бытовой техникой. Дом расположен в 5 минутах ходьбы от м. «Дворец Украина». Прекрасно развита инфраструктура гимназия,  садик,  медицинский центр,  спортклубы,  магазины,  рынок. 11 000 грн.
  ",2,0
1975,"Перемоги пр-т, 71а",387,Святошинский,2,74,10,16,"
Дополнительно : 
Сдается пустая 2-комнатная квартира в новом доме,  на Победы 71-А,  ЖК ""НАШ БУДИНОК"". Площадь -74 м&;178;,  10/16 этаж. Квартира сдается без мебели,  со встроенной кухней,  шкаф купе в прихожей. 2 балкона. Кафель в санузлах,  качественная сантехника. 2 су,  бойлер 80л. На все установлены счетчики. Квартира очень теплая,  при выключенном отоплении,  зимой в квартире 18 С. Удобная транспортная развязка. Развитая инфраструктура. Консьерж. Есть гостевая парковка и подземный паркинг,  с паркоместом (за отдельную плату).метро Нивки - 2 мин. 11000 грн,  с торгом. Звоните,  организуем просмотр в удобное для Вас время! При подписании договора комиссия 50%. Агентство недвижимости «МЕГА-КАПИТАЛ» приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду жилья в Киев.
  ",2,1
1976,"Науки пр-т, 69",563,Голосеевский,2,90,16,25,"
Дополнительно : 
Шикарная 2 комнатная квартира в новом доме на Голосеево,  пр. Науки 69. 90/40/15,  эт. 16/25. Квартира делалась для себя. Первая сдача. Дорогая техника и мебель. На фото нет дивана и 2-х кресел,  но они будут привезены. Диван и кресла американские,  кожа. Кухня итальянская,  каменная столешница,  встроенная техника,  Electrolux,  Bosch. Есть бойлер. Везде где есть плитка (даже на балконе) программируемый подогрев пола. Декоративная штукатурка. На первом этаже хороший фитнес клуб - очень удобно. Рядом (100 м.) детский сад. Через дорогу - Голосеевский лес,  Китаевский монастырь,  озера. Панорамные виды. Счетчики на воду и на тепло. Консьерж. 16000 грн. Звоните,  организуем просмотр в удобное для Вас время! При подписании договора комиссия 50%. Агентство недвижимости «МЕГА-КАПИТАЛ» приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду жилья в Киеве.
  ",3,0
1977,"Петрицького Анатолiя вул., 23",492,Святошинский,1,47,11,16,"
Дополнительно : 
Шикарная 1 комнатная квартира в ЖК Вiдпочинок,  ул. Анатолия Петрицкого 23.Святошинский р-н,  м. Святошино.Первая сдача! 47/22/15 кв.м.,  эт. 11/16. Евроремонт. Новый комплекс расположен в Скарбовом лесу. Полностью закрытая и охраняемая территория с детскими и спортивными площадками. До метро Святошин 15 мин пешком. Полностью укомплектована новой мебелью (двуспальный диван,  встроенная кухня) и бытовой техникой (кондиционер,  СМА,  холодильник,  плазма,  бойлер,  посудомоечная машина). Панорамные окна. Шикарный вид. 14000 грн. При подписании договора комиссия 50%. Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников объектов недвижимости для эффективной и быстрой сдачи в аренду жилья в Киеве.
  ",3,1
1978,"Кольцова бул., 14а",387,Святошинский,1,57,6,23,"
Дополнительно : 
Cрочно сдам шикарную 1 комнатную квартиру студио в ЖК “Парковый”,  бульвар Кольцова,  14а. Святошинский р-н. 57 кв.м. эт. 6/23. Евроремонт. Квартира полностью укомплектована современной мебелью (диван,  шкаф-купе,  двуспальная кровать) и бытовой техникой (холодильник,  стиральная машина) необходимой для комфортного проживания. Гардеробная. Паркинг. В доме три лифта,  консьерж. Отлично развита инфраструктура школы,  садики,  магазины,  ТЦ,  салоны красоты,  фитнес-центры,  рынок,  парк. Отличная транспортная развязка. 11000 грн. Звоните,  организуем просмотр в удобное для Вас время! При подписании договора комиссия 50%. Агентство недвижимости «МЕГА-КАПИТАЛ» приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду жилья в Киеве.
  ",3,1
1979,"Науки пр-т, 55а",492,Голосеевский,2,77,24,25,"
Дополнительно : 
Супер видовая 2-комнатная квартира по проспекту Науки,  55А,  Голосеевский р-н. 77 кв.м.,  эт. 24/25. Квартира полностью укомплектована бытовой техникой и мебелью необходимой для комфортного проживания: встроенная кухня,  двуспальная кровать,  диван,  стиральная машина,  холодильник. Шикарный вид из окон. Хорошо развита инфраструктура рядом несколько детских садов и школ,  парки,  детские площадки,  супермаркеты. 14000 грн. При подписании договора комиссия агентства 50%.Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",3,0
1980,"Днiпровська наб., 23",598,Дарницкий,3,105,5,24,"
Дополнительно : 
Срочно сдам! 3-комнатная квартира на Осокорках,  Днепровская набережная,  23,  Дарницкий р-н. 105 кв.м.,  эт. 5/24. Кирпичный дом 2008 года. Евроремонт. Все делали для себя. Квартира полностью меблирована: встроенная кухня,  двуспальная кровать,  вместительные шкафы. Укомплектована всей необходимой бытовой техникой: два кондиционера,  бойлер,  варочная поверхность,  духовой шкаф,  большая посудомоечная и стиральная машины,  холодильник и др. Экономия коммунальных,  так как в квартире свой счетчик тепла. Застекленный балкон,  стеклопакеты,  бронедверь,  домофон,  консьерж. Рядом набережная яхт-клуба и место для прогулок. Отличная инфраструктура: напротив ТРЦ Ривер Молл,  Спортлайф,  подземный паркинг,  элитный лицей,  зона отдыха,  во дворе детская и спортивная площадки,  места для парковки.. Развитая инфраструктура,  удобная транспортная развязка: ст. М ""Осокорки"" - 7 минут,  ст. М. Позняки. 17000 грн. При подписании договора комиссия 50%. Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",2,0
1981,"Днiпрова вул., 25",580,Дарницкий,3,104,15,24,"
Дополнительно : 
Просторная видовая 3-х комнатная квартира по ул. Днепровская Набережная 25,  метро Осокорки 10 мин. пешком,  Дарницкий р-н. 104 кв.м.,  эт. 15/24. Укомплектована всей необходимой мебелью: двуспальная кровать,  диван,  детская кровать,  шкаф-купе. Бытовая техника: холодильник,  стиральная машина,  кондиционер,  бойлер,  варочная поверхность. Два санузла. Отличная транспортная развязка и прекрасно развита инфраструктура напротив ТРЦ «Ривер Молл»,  «Спортлайф»,  лицей,  во дворе детская и спортивная площадки. 16500 грн. При подписании договора комиссия агентства 50%.Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",2,0
1982,"Велика Житомирська вул., 6/11",633,Шевченковский,3,65,3,4,"
Дополнительно : 
Уютная 3-х комнатная квартира в центре города по ул. Большая Житомирская 6/11,  метро Золотые ворота и Площадь Независимости в пешей доступности,  Шевченковский район. 65 кв.м.,  эт. 3/4. Квартира укомплектована всей необходимой для комфортной жизни мебелью и бытовой техникой: встроенная кухня,  диван,  двуспальная кровать,  холодильник,  СМА. Прекрасно развита инфраструктура рядом 2 парка,  магазины,  рестораны,  кафе. 18000 грн. При подписании договора комиссия агентства 50%. Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",2,0
1983,"Московська вул., 46/2",809,Печерский,2,93,10,12,"
Дополнительно : 
Сдается отличная 2х к квартира в новом элитном доме бизнес класса на Печерске. Сделан евро ремонт в современном классическом стиле. Ремонт делался для себя,  использовались дорогие отделочные материалы.Мебель из натурального дерева ручной работы.Встроенная кухня из натурального дерева,  вся бытовая техника ведущих производителей,  посудомоечная машина,  кондиционеры в комнатах,  бойлер,  фильтры для воды.В квартире (хозяйский и гостевой),  есть ванная и душевая кабина. Витражные стекла. В гостиной и на кухне большие панорамные окна,  с которых открывается захватывающий вид на город. Квартира на охране. Установлено видео наблюдение,  консьерж. Достойные соседи. Все для вашего комфорта и безопасности. Закрытый двор на шлагбауме.В стоимость входит парко место в подземном паркинге. Квартира свободна и готова к проживанию. Без комиссионных
  ",2,0
1984,"Волоська вул., 50/38",1100,Подольский,2,77,5,8,"
Дополнительно : 
Без комиссии! Аренда 2хк в отличном состоянии на Подоле Волошская 50/38.Без комиссии! Сдается впервые отличная 2хк квартира в новом кирпичном доме в центре Подола. Дом бизнес класса из красного кирпича 2004 года постройки. Дом расположен во дворе. Квартира двусторонняя,  находится на 5/8 дома.  Площадь 77, 5/40/12. Высота потолка 3 м. Очень удачная планировка.С/у раздельный в плитке с теплыми комфортными полами и бойлером. Комнаты просторные. На полу по всей квартире паркет из натурального дерева. Отличная деревянная столярка. Возле спальни оборудована гардеробная комната.  В гостиной установлен кондиционер. Новая современная мебель. Встроенная кухня,  вся бытовая техника ведущих производителей.  В парадном и на этаже сделан хороший ремонт. Домофон,  консьерж,  видеонаблюдение на этаже. На балконе оборудована зона отдыха.  Отличное месторасположение. До м. Контрактовая Площадь 10 минут ходьбы. Развитая инфраструктура. Рядом школы,  лицеи,  д/с,  магазины,  кафе,  спорт лайф ,   рынок. Квартира сдается впервые. Звоните сегодня,  просмотры по договоренности
  ",2,0
1985,"Голосiївський пр-т, 21",422,Голосеевский,1,34,9,16,"
Дополнительно : 
Сдается отличная квартира по адресу Голосеевский пр-т 21 (40 лет Октября) Серия БПС. 34/16/8, 5. 9/16 панельного дома. Дом утеплен. Квартира после капитального ремонта 2012 года. Установлены стекло пакеты, броне дверь. Балкон застеклен и обшит. На балконе шкаф.Совмещенный с/у в плитке с ванной,  бойлером. Стиральная машина- автомат. Встроенная кухня,  холодильник,  электро плита,  вытяжка. Есть гардеробная. В комнате вся необходимая мебель. Установлен кондиционер. Сдается с мебелью и техникой. Можно заехать и жить или. Установлен домофон. Отличное месторасположение и транспортная развязка. До м. Демеевская и Голосеевская 5 минут ходьбы. Возле дома остановка общественного транспорта.Рядом Печерская международная школа, д/с,  магазины,  супермаркеты,  рынок. До Голосеевского парка 7 минут ходьбы. Звоните сегодня,  просмотры по договоренности. Цена12000грн.
  ",2,1
1986,"Франка Iвана вул., 17в",528,Шевченковский,3,73,5,6,"
Дополнительно : 
Уютная 3-х комнатная квартира в центре по ул. Ивана Франко 17В,  5 мин. до метро Золотые Ворота,  Шевченковский р-н.,  73 кв. м.,  эт. 5/6. Полностью меблирована. Есть вся необходимая бытовая техника для комфортного проживания. Большой балкон. Вход с ул. Лысенко. Прекрасно развита инфраструктура рядом магазины,  аптеки,  банки,  рестораны,  кафе. 15 000 грн. При подписании договора комиссия агентства 50%.Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",2,0
1987,"Донця Михайла вул., 2а",563,Соломенский,1,47,3,25,"
Дополнительно : 
Cтильная,  дизайнерская 1-комнатная квартира на Отрадном по ул. Михаила Донца,  2-А в ЖК ""Мамаева Слобода"",  Соломенский район. 47 кв.м.,  эт. 3/25. Квартира полностью оборудована всей необходимой для комфортного проживания современной мебелью и бытовой техникой: встроенная кухня,  двуспальная кровать,  диван,  холодильник,  кондиционер,  варочная панель,  микроволновая печь,  бойлер,  стиральная и посудомоечная машины,  шкафы-купе. Подогрев пол. Сигнализация. Консьерж. Закрытая охраняемая территория. Видеонаблюдение. Подземный паркинг. Развитая инфраструктура комплекса: продуктовые магазины,  аптеки,  салоны красоты. Прекрасная транспортная развязка трамвай,  маршрутки,  м. Шулявская. 16000. При подписании договора комиссия агентства 50%. Большая база объектов по Киеву и Киевской области. Звоните,  организуем просмотр в удобное для Вас время! Агентство недвижимости МЕГА-КАПИТАЛ ПЛЮС приглашает к сотрудничеству собственников жилой и коммерческой недвижимости для эффективной и быстрой продажи и сдачи в аренду объектов в Киеве и Киевской области.
  ",3,1
